,Unnamed: 0,"Table 3. Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, special aggregate indexes, February 2021",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,"[1982-84=100, unless otherwise noted]",,,,,,,,,
1,,,,,,,,,,,
2,Indent Level,Special aggregate indexes,"Relative
importance
Jan.
2021",Unadjusted indexes,,,Unadjusted percent change,,Seasonally adjusted percent change,,
3,,,,"Feb.
2020","Jan.
2021","Feb.
2021","Feb.
2020-
Feb.
2021","Jan.
2021-
Feb.
2021","Nov.
2020-
Dec.
2020","Dec.
2020-
Jan.
2021","Jan.
2021-
Feb.
2021"
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0,All items less food,85.893,258.165,260.098,261.688,1.4,0.6,0.2,0.3,0.4
7,0,All items less shelter,66.767,236.084,238.594,240.288,1.8,0.7,0.3,0.3,0.4
8,0,All items less food and shelter,52.66,229.39,230.398,232.376,1.3,0.9,0.3,0.4,0.5
9,0,"All items less food, shelter, and energy",46.311,235.659,237.329,238.376,1.2,0.4,0,0,0.1
10,0,"All items less food, shelter, energy, and used cars and trucks",43.595,241.844,242.424,243.504,0.7,0.4,0,0.1,0.1
11,0,All items less medical care,91.111,246.445,249.098,250.497,1.6,0.6,0.3,0.2,0.4
12,0,All items less energy,93.651,265.734,269.199,270.06,1.6,0.3,0.1,0,0.1
13,0,Commodities,37.526,185.331,187.79,189.402,2.2,0.9,0.6,0.7,0.5
14,1,"Commodities less food, energy, and used cars and trucks",17.489,146.126,145.857,146.418,0.2,0.4,0.2,0.3,-0.1
15,1,Commodities less food,23.419,151.792,151.918,153.865,1.4,1.3,0.7,1.1,0.8
16,1,Commodities less food and beverages,22.384,148.304,148.303,150.285,1.3,1.3,0.7,1.2,0.8
17,0,Services,62.474,331.139,334.451,335.655,1.4,0.4,0,0,0.3
18,1,Services less rent of shelter(1),29.607,348.701,351.226,352.974,1.2,0.5,0,-0.1,0.3
19,1,Services less medical care services,55.157,314.141,316.72,317.746,1.1,0.3,0.1,-0.1,0.3
20,0,Durables,10.878,104.421,107.517,107.893,3.3,0.3,0.2,-0.5,0
21,0,Nondurables,26.648,227.015,228.543,230.98,1.7,1.1,1.3,0.7,1.1
22,1,Nondurables less food,12.541,197.68,193.157,197.194,-0.2,2.1,1.6,1.9,1.9
23,1,Nondurables less food and beverages,11.507,194.122,188.975,193.264,-0.4,2.3,1.8,2.1,2.1
24,1,"Nondurables less food, beverages, and apparel",8.777,241.692,237.386,243.062,0.6,2.4,2.4,2.1,3
25,1,Nondurables less food and apparel,9.812,241.755,238.365,243.488,0.7,2.1,2.2,1.8,2.7
26,0,Housing,42.306,270.281,274.336,275.137,1.8,0.3,0.2,0,0.2
27,0,Education and communication(2),6.781,139.256,141.556,141.679,1.7,0.1,0.1,0,0.1
28,1,Education(2),3.018,269.36,272.238,272.539,1.2,0.1,0.2,0,0.2
29,1,Communication(2),3.763,73.793,75.361,75.412,2.2,0.1,0,-0.1,0.1
30,2,Information and information processing(2),3.652,69.693,71.199,71.208,2.2,0,0,-0.1,0.1
31,2,"Information technology, hardware and services(3)",1.29,7.375,7.28,7.261,-1.5,-0.3,0,-0.5,-0.1
32,0,Recreation(2),5.746,122.067,122.14,123.021,0.8,0.7,-0.3,-0.6,0.6
33,1,Video and audio(2),1.526,106.034,107.888,108.911,2.7,0.9,0.3,-0.4,0.4
34,1,"Pets, pet products and services(2)",1.196,180.819,182.431,182.884,1.1,0.2,0.4,0.7,0.2
35,1,Photography(2),0.072,75.996,75.719,77.109,1.5,1.8,-0.8,0.9,1.7
36,0,Food and beverages,15.141,261.487,270.26,270.672,3.5,0.2,0.3,0.1,0.1
37,1,Domestically produced farm food,6.473,251.833,259.851,260.634,3.5,0.3,0.3,0.2,0.3
38,0,Other services,11.686,364.767,369.899,371.267,1.8,0.4,0,-0.3,0.3
39,0,Apparel less footwear,2.081,116.71,109.762,112.107,-3.9,2.1,1.1,2.5,-0.9
40,0,Fuels and utilities,4.398,242.951,248.879,251.277,3.4,1,0.3,0,1.1
41,1,Household energy,3.29,199.117,203.476,205.82,3.4,1.2,0.3,-0.1,1.4
42,0,Medical care,8.889,513.923,522.133,524.207,2,0.4,-0.1,0.4,0.3
43,0,Transportation,15.25,207.772,205.631,209.054,0.6,1.7,0.7,1.1,1.1
44,1,Private transportation,14.165,203.291,203.963,207.664,2.2,1.8,0.9,1.3,1.4
45,2,New and used motor vehicles(2),7.439,99.028,102.492,102.704,3.7,0.2,-0.4,-1,-0.3
46,0,Utilities and public transportation,8.872,219.886,220.629,221.675,0.8,0.5,0.1,-0.4,0.3
47,0,Household furnishings and operations,4.675,124.636,127.716,127.935,2.6,0.2,0.2,-0.3,0
48,0,Other goods and services,3.157,460.144,467.995,469.886,2.1,0.4,0.5,0.4,0.4
49,1,Personal care,2.54,237.978,239.535,240.366,1,0.3,0.4,0,0.3
50,,,,,,,,,,,
51,,Footnotes:,,,,,,,,,
52,,(1) Indexes on a December 1982=100 base.,,,,,,,,,
53,,(2) Indexes on a December 1997=100 base.,,,,,,,,,
54,,(3) Indexes on a December 1988=100 base.,,,,,,,,,
